Source,Primary ID,Title,Alternative title,Contributor,Abstract,Date,Genre,Topical subject,Name subject,Geographic subject,Title subject,Temporal subject,Language,Type of resource,Place of publication,Publisher,Form,Extent,Notes,Link,Image
LoC,18012004/,Mobilizing woman-power,,"Blatch, Harriot Stanton 1856-1940|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association Collection (Library of Congress)","This book by Elizabeth Cady Stanton's daughter emphasizes the importance of women's contributions to World War I. It helps demostrate the link British and American suffragists were making between wartime sacrifice and women's disenfranchisement. There is an interesting foreword by Theodore Roosevelt, which reveals his position on woman suffrage.",1918,,"World War, 1914-1918|Women",,,,,,text,nyu|New York,The Womans Press,print,"5 p.l., 5-195 p. : front., plates ; 20 cm.",statement of responsibility: by Harriot Stanton Blatch ; with a foreword by Theodore Roosevelt ; with illustrations.|additional physical form: Also available in digital form on the Library of Congress Web site and on the Internet Archive Web site.,https://www.loc.gov/item/18012004/,http://cdn.loc.gov/service/rbc/rbnawsa/n2004/001.gif
LoC,33001926/,"Proceedings of the Anti-Slavery Convention of American Women, held in Philadelphia. May 15th, 16th, 17th and 18th, 1838",,"Anti-Slavery Convention of American Women (2d : 1838 : Philadelphia, Pa.)|Stone, Lucy 1818-1893|National American Woman Suffrage Association Collection (Library of Congress)",This pamphlet helps to emphasize the relationship between abolitionism and women's rights.,1838,conference publication,Antislavery movements|Slavery,,United States|United States,,,,text,pau|Philadelphia,Printed by Merrihew and Gunn,print,18 p. ; 22 cm.,additional physical form: Also available in digital form.,https://www.loc.gov/item/33001926/,http://cdn.loc.gov/service/rbc/rbnawsa/n1926/001.gif
LoC,23017479/,From pinafores to politics,,"Harriman, Florence Jaffray 1870-1967|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association Collection (Library of Congress)","This autobiography details the life of Daisy Hurst (Mrs. J. Borden) Harriman, a wealthy New York woman who worked diligently for issues concerning working-class women. Harriman was one of the women who lent her financial support to the shirtwaist workers' strike in 1909. In addition, with Mrs. Oliver H.P. Belmont and Miss Anne Morgan, she helped organize a strike meeting of the WTUL at the Colony Club, the first women's social club in New York City, which she also helped organize. In 1912, she was named by Woodrow Wilson to serve on the Federal Industrial Relations Commission.",1923,biography,"Women|Political activity|World War, 1914-1918|Politics and government|Social life and customs","Harriman, Florence Jaffray 1870-1967",United States|United States|Washington (D.C.),,1913-1921,,text,nyu|New York,Henry Holt and Company,print,"4 p.l., 359 p. : front., plates (part fold.), ports. ; 24 cm.",statement of responsibility: by Mrs. J. Borden Harriman.|general: Illustrated lining-papers.|additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/23017479/,http://cdn.loc.gov/service/rbc/rbnawsa/n7479/001.gif
LoC,15024465/,The trade union woman,,"Henry, Alice 1857-1943|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association Collection (Library of Congress)",The book examines the history of women's labor organizations and the relationship of working-class women to the campaign for woman suffrage.,1915,,Women labor union members|Women in the labor movement|Women|Suffrage,,United States|United States|United States,,,,text,nyu|New York|London,D. Appleton and Company,print,"xxiv p., 1 l., 314 p.  : front., plates ; 20 cm.","statement of responsibility: by Alice Henry, member of Office Employés' [sic] Association of Chicago, No. 12755, and formerly editor of Life and labor.|bibliography: Bibliography: p. 297-303.|additional physical form: Also available in digital form on the Library of Congress Web site.",https://www.loc.gov/item/15024465/,http://cdn.loc.gov/service/rbc/rbnawsa/n4465/001.gif
LoC,08004839/,Taxation of women in Massachusetts,,"Bowditch, William I. (William Ingersoll) 1819-1909|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association Collection (Library of Congress)|YA Pamphlet Collection (Library of Congress)",This pamphlet examines the legal and political status of women in Massachusetts from 1780 to 1871. It includes a brief appendix tabulating the amount women have paid in taxes while being denied the right to vote.,1875,,"Women|Legal status, laws, etc|Taxation|Women|Political activity",,Massachusetts|Massachusetts|Massachusetts,,,,text,mau|Cambridge,Press of John Wilson and Son,print,71 p. : tables ; 24 cm.,statement of responsibility: by William I. Bowditch ...|additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/08004839/,http://cdn.loc.gov/service/rbc/rbnawsa/n4839/001.gif
LoC,08034439/,"Social evils, their causes and cure: being a brief discussion of the social status, with reference to methods of reform",,"King, Maria M.|Stone, Lucy 1818-1893|National American Woman Suffrage Association Collection (Library of Congress)","In this pamphlet, the author addresses a number of issues contributing to problems in contemporary society, among them poor diet, prostitution, marriage and divorce, the plight of orphans, and women in prisons. She suggests, in part, that better education for women and their enfranchisement will be a part of the remedy for these social evils.",1870,,Social problems|Miscellanea,,,,,,text,mau|Boston|New York,"W. White and Company|The American News Company, Agents",print,55 p. ; 24 cm.,statement of responsibility: by Mrs. Maria M. King ...|additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/08034439/,http://cdn.loc.gov/service/rbc/rbnawsa/n4439/001.gif
LoC,ca26000179/,Consistent democracy: the elective franchise for women,,"Stone, Lucy 1818-1893|Susan B. Anthony Collection (Library of Congress)|National American Woman Suffrage Association Collection (Library of Congress)","These are very brief (paragraph-length) statements of support for woman suffrage. Among the ""prominent men"" included are Henry Ward Beecher, William Lloyd Garrison, Horace Greeley, Thomas Wentworth Higginson, Samuel J. May, Theodore Parker, Wendell Phillips, Gerrit Smith, William H. Channing, the Ohio Senate, and the Wisconsin legislature.",1858,,Women|Suffrage,,,,,,text,mau|Worcester|Boston,To be obtained of R.F. Wallcut ...,print,4 p. ; 23 cm.,"statement of responsibility: twenty-five testimonies of prominent men, viz: ex-Gov. Anthony of R.I., Rev. Henry Ward Beecher, Rev. Wm.H. Channing ...|general: LC copy no. 11 in a collection of pamphlets lettered: Miscellaneous speeches, etc.|additional physical form: Also available in digital form on the Library of Congress Web site.",https://www.loc.gov/item/ca26000179/,http://cdn.loc.gov/service/rbc/rbnawsa/n6179/001.gif
LoC,28018616/,"An address on woman's rights: delivered before the people's Sunday meeting, in Cochituate Hall, on Sunday afternoon, Oct. 19th, 1851",,"Rose, Ernestine L. (Ernestine Louise) 1810-1892|Stone, Lucy 1818-1893|Susan B. Anthony Collection (Library of Congress)|National American Woman Suffrage Association Collection (Library of Congress)",,1851,,Women's rights,,United States,,,,text,mau|Boston,Published by J. P. Mendum,print,21 p. ; 18 cm.,"statement of responsibility: by Mrs. E.L. Rose.|general: No. 3 in a vol. with binder's title: Miscellaneous speeches.|additional physical form: Also available in digital form on the Library of Congress Web site, and on microfilm (Microfilm O1291 reel 221, no.10E).",https://www.loc.gov/item/28018616/,http://cdn.loc.gov/service/rbc/rbnawsa/n8616/001.gif
LoC,28018623/,"Powers of Congress to prohibit inequality, caste and oligarchy of the skin",,"Sumner, Charles 1811-1874|Shaw, Anna Howard 1847-1919|United States Congress Senate. (40th, 3rd session : 1868-1869).|Susan B. Anthony Collection (Library of Congress)|National American Woman Suffrage Association Collection (Library of Congress)",,1869,,African Americans|Suffrage|Suffrage,,United States,,,,text,dcu|Washington,F. & J. Rives & G.A. Bailey,print,8 p. ; 23 cm.,"statement of responsibility: speech of Hon. Charles Sumner of Massachusetts, delivered in the Senate of the United States, February 5, 1869.|general: No. 32 in a collection of pamphlets lettered: Miscellaneous pamphlets, etc. Signed and annotated by Susan B. Anthony.|additional physical form: Also available in digital form on the Library of Congress Web site.",https://www.loc.gov/item/28018623/,http://cdn.loc.gov/service/rbc/rbnawsa/n8623/001.gif
LoC,28018620/,"The mortality of nations: an address delivered before the American Equal Rights Association, in New York, Thursday evening, May 9, 1867",,"Pillsbury, Parker 1809-1898|Stone, Lucy 1818-1893|American Equal Rights Association|Susan B. Anthony Collection (Library of Congress)|National American Woman Suffrage Association Collection (Library of Congress)",,1867,,Civilization|History|Women|Suffrage,,United States,,,,text,nyu|New York,"Robert J. Johnston, Printer",print,13 p. ; 23 cm.,"statement of responsibility: by Parker Pillsbury.|general: No. 37 in a collection of pamphlets lettered: Miscellaneous speeches, etc.|additional physical form: Also available in digital form on the Library of Congress Web site.",https://www.loc.gov/item/28018620/,http://cdn.loc.gov/service/rbc/rbnawsa/n8620/001.gif
